english	hi_deva_in	status	register_or_domain	authority	rationale_or_rejected_choice
set	समुच्चय	controlled	set theory	CSTT mathematics glossary; native Hindi mathematics usage	Use native technical term; reject unadapted English set.
element	अवयव	controlled	set theory	CSTT mathematics glossary lists तत्व/अल्पांश/अवयव; native instructional use	अवयव is concise and established for membership; सदस्य retained as explanatory synonym on first occurrence.
member	सदस्य	indexed synonym	set theory	native Hindi instructional usage	Useful bridge synonym; controlled token remains अवयव.
empty set	रिक्त समुच्चय	controlled	set theory	CSTT mathematics glossary	Reject खाली सेट and null-set transliteration.
extensionality	विस्तारात्मकता	provisional controlled	logic/model theory	productive Hindi technical formation from विस्तारात्मक plus the complete source definition	Use the same noun throughout the Semantics chapter; retain अवयव-निर्धारित समानता as an accessible indexed gloss and reject bare एक्सटेंशनलिटी.
element-determined equality	अवयव-निर्धारित समानता	reader-facing gloss	logic/set theory	semantic gloss for extensionality	Used as the first heading so a Hindi-medium reader is not gated by a coined abstract noun.
perfect number	परिपूर्ण संख्या	controlled	number theory	CSTT-derived mathematics glossary witness; Hindi dictionary usage	Reject perfect संख्या and संपूर्ण संख्या for this controlled sense.
proper divisor	उचित भाजक	controlled	number theory	Azim Premji University Hindi mathematics translation, Number Bases, p. 11	Reject English divisor and overly long self-excluding paraphrase after first definition.
if and only if	तभी और केवल तभी	controlled	logic	standard Hindi mathematical phrasing	Preserves biconditional force; reject केवल यदि for iff.
problem	प्रश्न	controlled	pedagogy	Hindi educational register	Matches problem environment while avoiding untranslated Problem.
definition	परिभाषा	controlled	logic/mathematics	CSTT/native instructional usage	Stable theorem caption.
example	उदाहरण	controlled	pedagogy	native instructional usage	Stable theorem caption.
subset	उपसमुच्चय	controlled	set theory	CSTT Learners Glossary of Mathematics; NCERT Hindi via IIT Kanpur SATHEE	Reject English subset and nonstandard partial calques.
proper subset	उचित उपसमुच्चय	controlled	set theory	CSTT Learners Glossary of Mathematics; NCERT Hindi via IIT Kanpur SATHEE	Preserves the strict-inclusion sense; reject वास्तविक उपसमुच्चय in this edition.
power set	घात समुच्चय	controlled	set theory	CSTT Learners Glossary of Mathematics; NCERT Hindi via IIT Kanpur SATHEE	Reject power सेट and शक्ति समुच्चय.
criterion	निकष	controlled	logic/mathematics	CSTT/native academic Hindi usage	Used for an identity criterion; reject untranslated criterion.
proposition	प्रतिज्ञप्ति	controlled	logic	standard Hindi logic usage; CSTT Learners Glossary lists साध्य/कथन as alternatives	Matches the locale-wide rendered proposition caption; retain साध्य and कथन as indexed search alternatives, not silent caption substitutes.
natural number	प्राकृत संख्या	controlled	number systems	CSTT mathematics glossary; native Hindi university and NCERT usage	Preserve the source convention that this OLP set includes 0; do not silently substitute the separate NCERT natural/whole-number convention.
integer	पूर्णांक	controlled	number systems	CSTT mathematics glossary; NCERT Hindi usage	Reject integer transliteration and the less precise पूर्ण संख्या.
rational number	परिमेय संख्या	controlled	number systems	CSTT Fundamental Glossary of Mathematics; NCERT Hindi usage	Reject rational संख्या and तर्कसंगत संख्या in this mathematical sense.
real number	वास्तविक संख्या	controlled	number systems	CSTT mathematics glossary; NCERT Hindi usage	Stable native mathematical term.
infinite set	अनंत समुच्चय	controlled	set theory	CSTT/native Hindi mathematics usage	Reject infinite सेट; distinguish from the finite/infinite contrast without changing cardinality claims.
positive integer	धन पूर्णांक	controlled	number systems	CSTT/native Hindi mathematics usage	Reject positive integer transliteration.
